Date,Round,HomeTeam,AwayTeam,Result,Outcome
2024-05-27,10,Sandnes Ulf,Kongsvinger,0-2,0.0
2024-05-27,10,Stabæk,Egersund,4-5,0.0
2024-05-28,10,Start,Sogndal,2-1,1.0
2024-05-31,11,Lyn,Mjøndalen,1-1,0.5
2024-06-01,11,Egersund,Raufoss,1-2,0.0
2024-06-01,11,Kongsvinger,Bryne,3-1,1.0
2024-06-01,11,Levanger,Start,1-1,0.5
2024-06-01,11,Moss,Aalesund,1-0,1.0
2024-06-01,11,Ranheim,Vålerenga,1-3,0.0
2024-06-01,11,Sogndal,Stabæk,2-3,0.0
2024-06-01,11,Åsane,Sandnes Ulf,1-0,1.0
2024-06-05,2,Egersund,Åsane,1-0,1.0
2024-06-09,12,Aalesund,Kongsvinger,4-4,0.5
2024-06-09,12,Bryne,Åsane,1-0,1.0
2024-06-09,12,Mjøndalen,Ranheim,3-3,0.5
2024-06-09,12,Sogndal,Egersund,2-2,0.5
2024-06-09,12,Start,Lyn,1-4,0.0
2024-06-09,12,Vålerenga,Moss,5-1,1.0
2024-06-12,4,Stabæk,Mjøndalen,4-2,1.0
2024-06-16,13,Egersund,Vålerenga,1-1,0.5
2024-06-16,13,Kongsvinger,Åsane,0-5,0.0
2024-06-16,13,Levanger,Aalesund,4-0,1.0
2024-06-16,13,Lyn,Sogndal,1-2,0.0
2024-06-16,13,Moss,Bryne,1-0,1.0
2024-06-16,13,Ranheim,Raufoss,1-0,1.0
2024-06-16,13,Sandnes Ulf,Mjøndalen,2-3,0.0
2024-06-16,13,Start,Stabæk,4-3,1.0
2024-06-22,14,Sogndal,Kongsvinger,2-0,1.0
2024-06-23,14,Aalesund,Ranheim,1-2,0.0
2024-06-23,14,Bryne,Lyn,5-3,1.0
2024-06-23,14,Mjøndalen,Egersund,0-3,0.0
2024-06-23,14,Raufoss,Start,2-1,1.0
2024-06-23,14,Stabæk,Levanger,1-0,1.0
2024-06-23,14,Vålerenga,Sandnes Ulf,8-0,1.0
2024-06-23,14,Åsane,Moss,1-4,0.0
2024-07-20,15,Egersund,Bryne,0-2,0.0
2024-07-20,15,Lyn,Åsane,3-1,1.0
2024-07-20,15,Moss,Kongsvinger,1-0,1.0
2024-07-20,15,Ranheim,Sogndal,3-0,1.0
2024-07-20,15,Raufoss,Stabæk,0-0,0.5
2024-07-20,15,Start,Vålerenga,1-2,0.0
2024-07-23,12,Raufoss,Levanger,0-3,0.0
2024-07-27,16,Aalesund,Egersund,2-3,0.0
2024-07-27,16,Bryne,Sandnes Ulf,1-1,0.5
2024-07-27,16,Kongsvinger,Levanger,3-3,0.5
2024-07-27,16,Mjøndalen,Lyn,1-2,0.0
2024-07-27,16,Sogndal,Start,4-0,1.0
2024-07-27,16,Stabæk,Moss,1-4,0.0
2024-07-27,16,Åsane,Raufoss,0-0,0.5
2024-07-29,16,Vålerenga,Ranheim,3-1,1.0
2024-07-31,12,Stabæk,Sandnes Ulf,3-0,1.0
2024-08-03,17,Egersund,Sogndal,0-2,0.0
2024-08-03,17,Levanger,Bryne,0-1,0.0
2024-08-03,17,Moss,Vålerenga,0-2,0.0
2024-08-03,17,Ranheim,Kongsvinger,2-2,0.5
2024-08-03,17,Raufoss,Aalesund,0-2,0.0
2024-08-03,17,Sandnes Ulf,Åsane,0-3,0.0
2024-08-03,17,Start,Mjøndalen,1-0,1.0
2024-08-04,17,Lyn,Stabæk,7-1,1.0
2024-08-10,18,Aalesund,Moss,1-0,1.0
2024-08-10,18,Mjøndalen,Sandnes Ulf,0-1,0.0
2024-08-10,18,Sogndal,Levanger,1-1,0.5
2024-08-10,18,Stabæk,Ranheim,3-0,1.0
2024-08-10,18,Åsane,Bryne,2-5,0.0
2024-08-11,18,Vålerenga,Raufoss,3-0,1.0
2024-08-11,18,Egersund,Start,3-2,1.0
2024-08-11,18,Kongsvinger,Lyn,1-1,0.5
2024-08-14,15,Levanger,Mjøndalen,1-1,0.5
2024-08-14,15,Sandnes Ulf,Aalesund,0-2,0.0
2024-08-18,19,Levanger,Vålerenga,1-4,0.0
2024-08-19,19,Raufoss,Egersund,4-1,1.0
2024-08-19,19,Bryne,Kongsvinger,1-1,0.5
2024-08-19,19,Lyn,Start,2-2,0.5
2024-08-19,19,Moss,Sogndal,3-0,1.0
2024-08-19,19,Ranheim,Mjøndalen,0-1,0.0
2024-08-19,19,Sandnes Ulf,Stabæk,1-3,0.0
2024-08-20,19,Åsane,Aalesund,2-0,1.0
2024-08-24,20,Vålerenga,Lyn,4-2,1.0
2024-08-25,20,Sogndal,Ranheim,0-2,0.0
2024-08-26,20,Egersund,Moss,3-2,1.0
2024-08-26,20,Aalesund,Bryne,1-2,0.0
2024-08-26,20,Mjøndalen,Levanger,2-0,1.0
2024-08-26,20,Stabæk,Åsane,1-1,0.5
2024-08-26,20,Start,Raufoss,1-2,0.0
2024-08-27,20,Kongsvinger,Sandnes Ulf,1-0,1.0
2024-09-01,21,Sandnes Ulf,Vålerenga,0-2,0.0
2024-09-01,21,Bryne,Stabæk,3-0,1.0
2024-09-01,21,Moss,Mjøndalen,1-0,1.0
2024-09-01,21,Lyn,Aalesund,0-0,0.5
2024-09-02,21,Levanger,Egersund,2-1,1.0
2024-09-02,21,Ranheim,Start,2-3,0.0
2024-09-02,21,Raufoss,Sogndal,4-1,1.0
2024-09-02,21,Åsane,Kongsvinger,2-1,1.0
2024-09-15,22,Sogndal,Lyn,0-1,0.0
2024-09-16,22,Egersund,Ranheim,0-2,0.0
2024-09-16,22,Aalesund,Sandnes Ulf,2-0,1.0
2024-09-16,22,Kongsvinger,Moss,0-0,0.5
2024-09-16,22,Mjøndalen,Bryne,1-1,0.5
2024-09-16,22,Stabæk,Raufoss,1-2,0.0
2024-09-16,22,Start,Levanger,1-1,0.5
2024-09-16,22,Vålerenga,Åsane,5-0,1.0
2024-09-21,23,Kongsvinger,Aalesund,1-5,0.0
2024-09-21,23,Bryne,Vålerenga,1-1,0.5
2024-09-21,23,Levanger,Raufoss,0-1,0.0
2024-09-21,23,Ranheim,Moss,1-0,1.0
2024-09-21,23,Sandnes Ulf,Sogndal,1-0,1.0
2024-09-21,23,Stabæk,Start,2-3,0.0
2024-09-21,23,Åsane,Mjøndalen,5-0,1.0
2024-09-24,24,Vålerenga,Aalesund,4-1,1.0
2024-09-25,24,Egersund,Stabæk,2-1,1.0
2024-09-25,24,Levanger,Lyn,1-3,0.0
2024-09-25,24,Mjøndalen,Kongsvinger,1-2,0.0
2024-09-25,24,Moss,Sandnes Ulf,6-1,1.0
2024-09-25,24,Raufoss,Ranheim,1-1,0.5
2024-09-25,24,Sogndal,Bryne,2-3,0.0
2024-09-25,24,Start,Åsane,3-1,1.0
2024-09-28,25,Aalesund,Mjøndalen,0-1,0.0
2024-09-28,25,Bryne,Moss,3-0,1.0
2024-09-28,25,Kongsvinger,Vålerenga,2-2,0.5
2024-09-28,25,Ranheim,Levanger,1-1,0.5
2024-09-28,25,Sandnes Ulf,Start,0-4,0.0
2024-09-28,25,Stabæk,Sogndal,2-0,1.0
2024-09-28,25,Åsane,Egersund,1-2,0.0
2024-09-29,25,Lyn,Raufoss,1-2,0.0
2024-10-02,23,Lyn,Egersund,2-1,1.0
2024-10-02,26,Levanger,Stabæk,1-2,0.0
2024-10-02,26,Raufoss,Sandnes Ulf,1-1,0.5
2024-10-02,26,Vålerenga,Mjøndalen,4-2,1.0
2024-10-05,26,Sogndal,Aalesund,0-1,0.0
2024-10-05,26,Start,Bryne,2-1,1.0
2024-10-06,26,Egersund,Kongsvinger,0-1,0.0
2024-10-06,26,Moss,Åsane,1-1,0.5
2024-10-06,26,Ranheim,Lyn,1-1,0.5
2024-10-21,27,Aalesund,Start,3-1,1.0
2024-10-21,27,Bryne,Raufoss,1-0,1.0
2024-10-21,27,Kongsvinger,Stabæk,1-3,0.0
2024-10-21,27,Mjøndalen,Sogndal,0-0,0.5
2024-10-21,27,Sandnes Ulf,Lyn,0-1,0.0
2024-10-21,27,Vålerenga,Egersund,4-0,1.0
2024-10-21,27,Moss,Levanger,5-1,1.0
2024-10-21,27,Åsane,Ranheim,1-2,0.0
2024-10-25,28,Stabæk,Vålerenga,1-2,0.0
2024-10-26,28,Egersund,Mjøndalen,3-1,1.0
2024-10-26,28,Levanger,Sandnes Ulf,4-0,1.0
2024-10-26,28,Lyn,Bryne,1-0,1.0
2024-10-26,28,Ranheim,Aalesund,0-1,0.0
2024-10-26,28,Raufoss,Kongsvinger,1-1,0.5
2024-10-26,28,Sogndal,Åsane,0-2,0.0
2024-10-26,28,Start,Moss,1-1,0.5
2024-11-02,29,Aalesund,Levanger,4-3,1.0
2024-11-02,29,Bryne,Egersund,2-1,1.0
2024-11-02,29,Kongsvinger,Sogndal,0-1,0.0
2024-11-02,29,Mjøndalen,Stabæk,3-0,1.0
2024-11-02,29,Moss,Raufoss,3-2,1.0
2024-11-02,29,Sandnes Ulf,Ranheim,2-6,0.0
2024-11-02,29,Vålerenga,Start,1-1,0.5
2024-11-02,29,Åsane,Lyn,3-2,1.0
2024-11-09,30,Egersund,Sandnes Ulf,3-1,1.0
2024-11-09,30,Levanger,Åsane,2-3,0.0
2024-11-09,30,Lyn,Moss,1-2,0.0
2024-11-09,30,Ranheim,Bryne,1-4,0.0
2024-11-09,30,Raufoss,Mjøndalen,0-1,0.0
2024-11-09,30,Sogndal,Vålerenga,0-3,0.0
2024-11-09,30,Stabæk,Aalesund,1-4,0.0
2024-11-09,30,Start,Kongsvinger,1-4,0.0
