Date,Round,HomeTeam,AwayTeam,Result,Outcome
2024-04-01,1,Aalesund,Stabæk,1-1,0.5
2024-04-01,1,Bryne,Start,3-1,1.0
2024-04-01,1,Kongsvinger,Ranheim,2-1,1.0
2024-04-01,1,Mjøndalen,Raufoss,1-1,0.5
2024-04-01,1,Moss,Lyn,3-0,1.0
2024-04-01,1,Sandnes Ulf,Egersund,3-4,0.0
2024-04-01,1,Vålerenga,Sogndal,1-1,0.5
2024-04-01,1,Åsane,Levanger,2-2,0.5
2024-04-06,2,Levanger,Moss,5-0,1.0
2024-04-06,2,Ranheim,Sandnes Ulf,3-1,1.0
2024-04-06,2,Raufoss,Vålerenga,1-2,0.0
2024-04-06,2,Sogndal,Mjøndalen,3-1,1.0
2024-04-06,2,Stabæk,Bryne,1-0,1.0
2024-04-06,2,Start,Aalesund,1-3,0.0
2024-04-07,2,Lyn,Kongsvinger,1-1,0.5
2024-04-14,3,Vålerenga,Stabæk,1-3,0.0
2024-04-15,3,Aalesund,Lyn,0-3,0.0
2024-04-15,3,Bryne,Levanger,0-1,0.0
2024-04-15,3,Kongsvinger,Egersund,3-3,0.5
2024-04-15,3,Mjøndalen,Start,1-1,0.5
2024-04-15,3,Moss,Ranheim,2-1,1.0
2024-04-15,3,Sandnes Ulf,Raufoss,2-0,1.0
2024-04-15,3,Åsane,Sogndal,1-1,0.5
2024-04-20,4,Egersund,Aalesund,3-1,1.0
2024-04-20,4,Levanger,Kongsvinger,1-2,0.0
2024-04-20,4,Ranheim,Åsane,2-2,0.5
2024-04-20,4,Raufoss,Bryne,0-1,0.0
2024-04-20,4,Sogndal,Moss,1-0,1.0
2024-04-20,4,Start,Sandnes Ulf,1-1,0.5
2024-04-20,4,Lyn,Vålerenga,1-1,0.5
2024-04-27,5,Aalesund,Raufoss,1-4,0.0
2024-04-27,5,Bryne,Sogndal,1-0,1.0
2024-04-27,5,Kongsvinger,Start,3-0,1.0
2024-04-27,5,Moss,Egersund,1-2,0.0
2024-04-27,5,Sandnes Ulf,Levanger,2-2,0.5
2024-04-27,5,Åsane,Stabæk,2-2,0.5
2024-04-28,5,Mjøndalen,Vålerenga,5-3,1.0
2024-04-28,5,Lyn,Ranheim,1-1,0.5
2024-05-04,6,Egersund,Lyn,1-1,0.5
2024-05-04,6,Levanger,Sogndal,0-0,0.5
2024-05-04,6,Mjøndalen,Aalesund,1-1,0.5
2024-05-04,6,Raufoss,Åsane,1-0,1.0
2024-05-04,6,Sandnes Ulf,Moss,3-3,0.5
2024-05-04,6,Stabæk,Kongsvinger,5-0,1.0
2024-05-04,6,Start,Ranheim,0-0,0.5
2024-05-04,6,Vålerenga,Bryne,1-0,1.0
2024-05-11,7,Aalesund,Vålerenga,0-2,0.0
2024-05-11,7,Bryne,Mjøndalen,1-0,1.0
2024-05-11,7,Kongsvinger,Raufoss,1-1,0.5
2024-05-11,7,Lyn,Levanger,3-1,1.0
2024-05-11,7,Moss,Stabæk,3-3,0.5
2024-05-11,7,Ranheim,Egersund,1-3,0.0
2024-05-11,7,Sogndal,Sandnes Ulf,5-1,1.0
2024-05-11,7,Åsane,Start,1-0,1.0
2024-05-16,8,Mjøndalen,Åsane,2-1,1.0
2024-05-16,8,Aalesund,Sogndal,0-2,0.0
2024-05-16,8,Levanger,Ranheim,2-2,0.5
2024-05-16,8,Raufoss,Moss,0-2,0.0
2024-05-16,8,Sandnes Ulf,Bryne,2-1,1.0
2024-05-16,8,Stabæk,Lyn,2-2,0.5
2024-05-16,8,Start,Egersund,4-3,1.0
2024-05-16,8,Vålerenga,Kongsvinger,0-2,0.0
2024-05-21,9,Moss,Start,2-1,1.0
2024-05-22,9,Bryne,Aalesund,2-0,1.0
2024-05-22,9,Egersund,Levanger,2-2,0.5
2024-05-22,9,Kongsvinger,Mjøndalen,3-2,1.0
2024-05-22,9,Ranheim,Stabæk,3-0,1.0
2024-05-22,9,Sogndal,Raufoss,1-1,0.5
2024-05-22,9,Åsane,Vålerenga,1-5,0.0
2024-05-23,9,Lyn,Sandnes Ulf,5-0,1.0
2024-05-26,10,Vålerenga,Levanger,3-1,1.0
2024-05-27,10,Aalesund,Åsane,4-1,1.0
2024-05-27,10,Bryne,Ranheim,3-2,1.0
2024-05-27,10,Mjøndalen,Moss,1-2,0.0
2024-05-27,10,Raufoss,Lyn,1-0,1.0
